"company","activities","poultry_processing","meat_processing"
"Americold","Certification - Cysticercus, Certification - Export, Certification - Trichinae, Identification - Meat, Identification - Poultry, Off-Premise Freezing - Meat, Off-Premise Freezing - Poultry",NULL,NULL
"Hall's Warehouse Corp.","Certification - Export, Identification - Meat, Identification - Poultry, Identification - Siluriformes, Off-Premise Freezing - Meat, Off-Premise Freezing - Poultry, Off-Premise Freezing - Siluriformes",NULL,NULL
"Moran Foods, LLC dba Save-A-Lot","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"Lineage Logistics SCS, LLC","Certification - Export, Identification - Meat, Identification - Poultry, Off-Premise Freezing - Meat, Off-Premise Freezing - Poultry",NULL,NULL
"Hospitality Services Unlimited","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"Flora Foods, Inc.","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"Gordon Food Service","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"Southeast Frozen Foods","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"Merchant's Market Group, LLC","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"Walton & Post Inc.","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"Sherwood Food Distributors, LLC","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"Cheney Bros. Inc.","Certification - Export, Certification - Trichinae, Identification - Meat, Identification - Poultry, Identification - Siluriformes",NULL,NULL
"Associated Grocers of FL","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"Bemka Corporation","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"Prime Line Distributors Inc.","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"Costco Wholesale","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"Gourmet Foods International","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"Jose Enriquez Inc.","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"United States Cold Storage","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"US Foods","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"Quirch Foods Co.","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"Port of Palm Cold Storage","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"Lineage Logistics, LLC","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"Lineage Logistics PFS, LLC","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"Asiago Foods-USA, Inc.","Identification - Meat",NULL,NULL
"US Foods, Inc.","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"Jose Sanitiago","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"Lineage Logistics, LLC","Certification - Export, Identification - Meat, Identification - Poultry, Off-Premise Freezing - Meat, Off-Premise Freezing - Poultry",NULL,NULL
"Wilco Cold Storage LLC","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"Caine Warehousing LTD","Certification - Export, Identification - Meat",NULL,NULL
"Schratter Foods, Inc dba Corman Ship Supplies","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"Delaware Avenue Enterprises Inc.","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"LeMars Public Storage #3","Certification - Export, Identification - Poultry",NULL,NULL
"Innovative Cold Storage","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"LeMars Public Storage Inc.","Certification - Export, Identification - Poultry",NULL,NULL
"Rotex Food Services, Inc.","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"Performance Food Group","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"RCS Empowers, Inc.","Identification - Meat, Identification - Poultry",NULL,NULL
"Americold Logistics","Identification - Meat, Identification - Poultry",NULL,NULL
"Waushara Industries, Inc.","Identification - Meat, Identification - Poultry",NULL,NULL
"J&D Refrigerated Services","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"SnowTemp Cold Storage","Certification - Export, Identification - Meat, Identification - Poultry, Off-Premise Freezing - Egg Products, Voluntary Processing - Egg Products",NULL,NULL
"Lineage Bedford Park 2, LLC","Certification - Export, Certification - Trichinae, Identification - Meat, Identification - Poultry",NULL,NULL
"Lineage Logistics PFS, LLC","Certification - Export, Identification - Meat, Identification - Poultry, Identification - Siluriformes, Off-Premise Freezing - Meat, Off-Premise Freezing - Poultry, Off-Premise Freezing - Siluriformes",NULL,NULL
"Wright Distribution Center, Inc.","Certification - Export, Identification - Meat",NULL,NULL
"T.W Food Distributors","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"Green Bay Dressed Beef Cold Storage","Identification - Meat",NULL,NULL
"Shelton's Poultry, Inc. 2","Certification - Export, Identification - Poultry",NULL,NULL
"Chihade International, Inc.","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"Global Maritime Supply","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"Global Maritime Supply","Identification - Meat, Identification - Poultry",NULL,NULL
"Palos Garza Forwarding, LLC","Certification - Export, Identification - Meat, Identification - Poultry, Off-Premise Freezing - Meat, Off-Premise Freezing - Poultry",NULL,NULL
"Best Value Food Products","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"Exel, Inc","Certification - Export, Food Inspection, Identification - Meat, Identification - Poultry",NULL,NULL
"Japanese Food Distributors","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"RANTOUL INVESTMENTS","Certification - Export, Identification - Meat",NULL,NULL
"Continental Freightways","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"Ralex International Corp.","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"Restaurant Depot, LLC/DBA Jetro Cash & Carry","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"Americold, LLC","Certification - Export",NULL,NULL
"Central Storage & Warehouse Co.","Certification - Export, Off-Premise Freezing - Egg Products, Off-Premise Freezing - Meat, Off-Premise Freezing - Poultry",NULL,NULL
"Shamrock Foods Company","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"JE Exports","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"Jack Links Beef Jerky","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"New Orleans Cold Storage & Warehouse Company Ltd.","Certification - Export, Certification - Trichinae, Identification - Meat, Identification - Poultry, Off-Premise Freezing - Meat, Off-Premise Freezing - Poultry",NULL,NULL
"Kansas Marine","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"Nor-Am Ice and Cold Storage","Certification - Cysticercus, Certification - Trichinae, Identification - Meat, Identification - Poultry, Off-Premise Freezing - Meat, Off-Premise Freezing - Poultry",NULL,NULL
"CRISF, Inc.","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"New Marco Foods Inc.","Certification - Export, Identification - Meat, Identification - Poultry, Off-Premise Freezing - Meat, Off-Premise Freezing - Poultry",NULL,NULL
"Head Distributing Company dba Core-Mark","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"National DCP","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"Premier Refrigerated Warehouse, LLC","Identification - Meat, Identification - Poultry",NULL,NULL
"Sigma Alimentos International, Inc.","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"Americold","Certification - Export, Identification - Poultry",NULL,NULL
"JTP Global, LLC","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"International WHSE SVCS.","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"Gulf States Cold Storage Co.","Certification - Export, Identification - Meat, Identification - Poultry, Off-Premise Freezing - Meat, Off-Premise Freezing - Poultry",NULL,NULL
"Del Rosario Enterprises, Inc.","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"Continental Forwarding Services","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"Lineage Logistics PFS, LLC","Certification - Export, Identification - Meat, Identification - Poultry, Identification - Siluriformes, Off-Premise Freezing - Egg Products, Off-Premise Freezing - Meat, Off-Premise Freezing - Poultry",NULL,NULL
"Tropical Foods","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"Diversified Transfer & Storage","Identification - Meat, Identification - Poultry",NULL,NULL
"Food Marketing Consultants, Inc.","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"Best Buy Export LLC","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"Castelo Cold Storage LLC","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"Payco Foods Corporation","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"Sam's Club Wholesale Trading # 7191","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"Frank Brunckhorst Co., L.L.C.","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"Blue Line Foodservice Distribution","Certification - Export, Identification - Meat",NULL,NULL
"Kingston-Miami Trading Co.","Certification - Export, Identification - Meat",NULL,NULL
"South Florida Trading Corp.","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"Alba Cold Storage","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"CARGILL FOOD DISTRIBUTION","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"Quirch Foods Company - Chicago","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"Seaboard Solutions, Inc.","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"Central Cold Storage Inc.","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"Crew Concierge","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"Americold dba AGRO Merchants Group","Certification - Export, Certification - Trichinae, Identification - Meat, Identification - Poultry, Identification - Siluriformes, Off-Premise Freezing - Egg Products, Off-Premise Freezing - Meat, Off",NULL,NULL
"Americold Logistics, LLC","Certification - Export, Identification - Meat, Identification - Poultry, Identification - Siluriformes, Off-Premise Freezing - Meat, Off-Premise Freezing - Poultry",NULL,NULL
"Trinity X-Ray LLC","Identification - Meat, Identification - Poultry",NULL,NULL
"Nor-Am Ice & Cold Storage","Certification - Cysticercus, Certification - Export, Certification - Trichinae, Identification - Meat, Identification - Poultry, Off-Premise Freezing - Egg Products, Off-Premise Freezing - Meat, Off-P",NULL,NULL
"Liberty Cold Storage","Food Inspection, Identification - Meat, Identification - Poultry, Off-Premise Freezing - Meat, Off-Premise Freezing - Poultry",NULL,NULL
"Nex-Xos Worldwide LLC","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"America's Custom Brokers, Inc.","Certification - Export, Identification - Meat",NULL,NULL
"United States Cold Storage","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"Pulama Lanai","Voluntary Processing - Meat, Voluntary Slaughter - Meat",NULL,NULL
"International Grocers Inc.","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"Dot Foods, Inc.","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"Van-G Trucking, Inc.","Certification - Export, Identification - Meat",NULL,NULL
"Rana Meal Solutions","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"ConAgra Foods Packaged Foods, LLC","Identification - Meat, Identification - Poultry",NULL,NULL
"Arctic Logistics LLC","Certification - Export, Certification - Trichinae, Identification - Meat, Identification - Poultry",NULL,NULL
"Michigan Produce Haulers","Identification - Meat, Identification - Poultry",NULL,NULL
"Americold - Ontario, Oregon","Certification - Export",NULL,NULL
"R H Transportation","Identification - Meat",NULL,NULL
"Great Northern Corp.","Identification - Meat, Identification - Poultry",NULL,NULL
"PFT Cold Storage","Identification - Meat, Identification - Poultry, Off-Premise Freezing - Egg Products, Off-Premise Freezing - Meat",NULL,NULL
"Lineage Logistics","Certification - Export, Certification - Trichinae, Identification - Meat, Identification - Poultry, Off-Premise Freezing - Meat, Off-Premise Freezing - Poultry",NULL,NULL
"Allied Caribbean Distribution","Certification - Export",NULL,NULL
"Cool Port Oakland","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"North American Cold Storage, Inc.","Certification - Export, Identification - Meat, Identification - Poultry, Off-Premise Freezing - Egg Products, Off-Premise Freezing - Meat, Off-Premise Freezing - Poultry",NULL,NULL
"Blue Line Food Service Distribution","Certification - Export, Identification - Meat",NULL,NULL
"Frank Brunckhorst Co., LLC","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"Interport Logistics LLC","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"Sabanero Inc.","Certification - Export",NULL,NULL
"Progressive Distributors USA LLC","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"Lineage Logistics, LLC","Certification - Export, Certification - Trichinae, Identification - Meat, Identification - Poultry, Identification - Siluriformes",NULL,NULL
"KIA LLC","Voluntary Processing - Meat, Voluntary Slaughter - Exotic, Voluntary Slaughter - Meat",NULL,NULL
"US Foods, Inc.","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"Acme Delivery Service","Identification - Meat, Identification - Poultry",NULL,NULL
"Food Bank for the Heartland","Identification - Meat, Identification - Poultry",NULL,NULL
"58 Place Seafood Inc.","Certification - Export",NULL,NULL
"Liberty Express Miami DBA USA Fish Handlers","Certification - Export, Identification - Meat",NULL,NULL
"Americold","Certification - Export",NULL,NULL
"Americold Logistics","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"Western Boxed Meat","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"Busetto Foods","Certification - Trichinae",NULL,NULL
"Neptune Cold Storage","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"DLA Distribution San Joaquin, CA Unitized Group Rations","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"Beaver Dam Cold Storage LLC","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"Beaver Dam Cold Storage","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"Tony Downs Foods","Certification - Export",NULL,NULL
"JCK Inspection","Identification - Meat, Identification - Poultry",NULL,NULL
"Americold","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"Red Cloud Food Services","Certification - Export",NULL,NULL
"Des Moines Cold Storage (Crossroad Cold Storage)","Certification - Export, Certification - Trichinae, Identification - Meat, Identification - Poultry",NULL,NULL
"Valley Cold Storage & Transportation, LLC","Certification - Export",NULL,NULL
"H-E-B, LP","Certification - Export, Identification - Meat, Identification - Poultry, Identification - Siluriformes",NULL,NULL
"Valley Cold Storage & Transportation, LLC","Certification - Export",NULL,NULL
"Rase Forwarding LLC","Certification - Export",NULL,NULL
"Menasha Packaging Company","Identification - Meat, Identification - Poultry",NULL,NULL
"Lieb Foods, LLC","Identification - Meat",NULL,NULL
"Cold Terminal Laredo","Certification - Cysticercus, Certification - Export, Certification - Trichinae, Identification - Meat, Identification - Poultry, Identification - Siluriformes",NULL,NULL
"Provisioners Warehouse and Transportation Services","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"Esquivel's Forwarding Agency Inc.","Certification - Export",NULL,NULL
"Pederson Natural Farms, Inc.","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"United States Cold Storage Inc.","Food Inspection, Identification - Meat, Identification - Poultry",NULL,NULL
"TRI PAK INC","Identification - Meat, Identification - Poultry",NULL,NULL
"US Foods","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"PCC Logistics","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"United States Cold Storage","Certification - Export",NULL,NULL
"Americold Logistics","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"Food X Inspections LLC","Food Inspection",NULL,NULL
"Angulo & Aguilar Forwarding, LLC","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"Lineage Logistics, LLC","Certification - Export",NULL,NULL
"Albert's Organics Inc.","Certification - Export, Identification - Meat, Identification - Poultry, Identification - Siluriformes",NULL,NULL
"Lineage Logistics Services, LLC","Certification - Export, Identification - Poultry",NULL,NULL
"Fisher Packing Co.","Voluntary Processing - Meat",NULL,NULL
"Murray Warehousing, Inc.","Identification - Meat, Identification - Poultry",NULL,NULL
"Smithfield Packaged Meats Corp","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"Conagra Foods Packaged Foods LLC","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"Americold Logistics LLC","Certification - Cysticercus, Certification - Export, Certification - Trichinae, Identification - Meat, Identification - Poultry, Off-Premise Freezing - Egg Products, Off-Premise Freezing - Meat, Off-P",NULL,NULL
"Lineage Logistics PFS, LLC","Certification - Export, Identification - Meat, Identification - Poultry, Identification - Siluriformes",NULL,NULL
"Lopez Foods, Inc.","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"Dothan Warehouse Freezer Storage","Certification - Export, Identification - Poultry",NULL,NULL
"Bay Island, LLC","Identification - Meat",NULL,NULL
"Yancey's Fancy","Identification - Meat",NULL,NULL
"Denver Wholesale Foods","Identification - Meat, Identification - Poultry",NULL,NULL
"Claxton Cold Storage","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"West River Buffalo Suppliers","Voluntary Slaughter - Exotic, Voluntary Slaughter - Meat",NULL,NULL
"Ballester Hermanos, Inc.","Certification - Export, Identification - Meat, Identification - Poultry, Identification - Siluriformes",NULL,NULL
"Assemblers Inc.","Identification - Meat, Identification - Poultry",NULL,NULL
"ER Logistics Consultant LLC","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"Exel Inc. dba HLS Supply Chain (USA)","Identification - Meat, Identification - Poultry",NULL,NULL
"Shippers Warehouse Three","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"Menasha Packaging Company","Identification - Meat, Identification - Poultry",NULL,NULL
"DHL Supply Chain (USA)","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"Port Logistics Terminal Operations, LLC","Certification - Export",NULL,NULL
"Lineage Logistics, LLC","Certification - Export, Identification - Meat, Identification - Poultry, Identification - Siluriformes",NULL,NULL
"Lineage Logistics, LLC","Certification - Export, Identification - Meat, Identification - Poultry, Identification - Siluriformes",NULL,NULL
"Lineage Logistics, LLC","Certification - Export, Certification - Trichinae, Identification - Meat, Identification - Poultry, Identification - Siluriformes",NULL,NULL
"Star Warehouse","Certification - Export, Identification - Meat, Identification - Poultry, Identification - Siluriformes, Voluntary Processing - Egg Products, Voluntary Processing - Meat",NULL,NULL
"Safe Food X-Ray LLC","Identification - Meat, Identification - Poultry, Identification - Siluriformes",NULL,NULL
"McLane Global","Certification - Export",NULL,NULL
"The Healthway Group By Labriute","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"Seafrigo NA ColdStorage, Inc. dba: AIRFRIGO USA, INC","Certification - Export, Identification - Meat, Identification - Poultry, Off-Premise Freezing - Meat, Off-Premise Freezing - Poultry",NULL,NULL
"Airfrigo USA Inc/Seafrigo Coldstorage Fairmont","Certification - Export, Identification - Meat, Identification - Poultry, Off-Premise Freezing - Egg Products, Off-Premise Freezing - Meat, Off-Premise Freezing - Poultry",NULL,NULL
"Lineage Logistics PFS, LLC","Certification - Export, Identification - Meat, Identification - Poultry, Identification - Siluriformes, Off-Premise Freezing - Egg Products, Off-Premise Freezing - Meat, Off-Premise Freezing - Poultry",NULL,NULL
"DICEX International, Inc.","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"eGourmet Solutions Inc","Identification - Meat, Identification - Poultry",NULL,NULL
"Global Refrigerated Services","Certification - Export, Identification - Meat, Identification - Poultry, Off-Premise Freezing - Meat, Off-Premise Freezing - Poultry",NULL,NULL
"Ryder System, Inc.","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"My Magic Kitchen, Inc. (DBA MagicKitchen.com)","Identification - Meat, Identification - Poultry",NULL,NULL
"Pak Quality Foods LLC","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"Smithfield Distribution, LLC","Certification - Export, Identification - Meat, Identification - Poultry, Off-Premise Freezing - Meat",NULL,NULL
"Tyson Foods, Inc.","Certification - Export",NULL,NULL
"TAEC LLC","Identification - Meat, Identification - Poultry",NULL,NULL
"National Distribution Center","Certification - Export",NULL,NULL
"Exact Packaging Inc.","Food Inspection, Identification - Meat, Identification - Poultry",NULL,NULL
"Shippers Warehouse Three","Identification - Meat",NULL,NULL
"United States Cold Storage","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"SDV Logistics, LLC","Certification - Export",NULL,NULL
"True Grade, LLC","Certification - Export",NULL,NULL
"Outlook Group, LLC","Identification - Meat",NULL,NULL
"Lineage Logistics PFS, LLC","Animal Foods Inspection, Certification - Cysticercus, Certification - Export, Certification - Trichinae, Food Inspection, Identification - Meat, Identification - Poultry, Identification - Siluriformes",NULL,NULL
"Americold Logistics, LLC","Certification - Cysticercus, Certification - Export, Certification - Trichinae, Identification - Meat, Identification - Poultry, Off-Premise Freezing - Egg Products, Off-Premise Freezing - Meat, Off-P",NULL,NULL
"Lineage Logistics PFS, LLC","Certification - Cysticercus, Certification - Export, Certification - Trichinae, Identification - Meat, Identification - Poultry, Identification - Siluriformes, Off-Premise Freezing - Meat, Off-Premise",NULL,NULL
"Hormel Foods Corporation","Identification - Meat, Identification - Poultry",NULL,NULL
"United States Cold Storage","Certification - Export, Identification - Meat",NULL,NULL
"Wakefern Food Corp.","Identification - Meat",NULL,NULL
"Terminal Freezers","Certification - Export, Off-Premise Freezing - Meat, Off-Premise Freezing - Poultry",NULL,NULL
"Harrison Poultry Inc.","Certification - Export, Identification - Poultry, Off-Premise Freezing - Poultry",NULL,NULL
"FW Logistics","Certification - Export, Off-Premise Freezing - Meat, Off-Premise Freezing - Poultry",NULL,NULL
"MacMillan-Piper, Inc","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"Revittle","Identification - Meat",NULL,NULL
"Associated Grocers of Florida","Certification - Export",NULL,NULL
"Mennonite Central Committee U.S.","Certification - Export",NULL,NULL
"Nor-Am Logistics South LLC","Certification - Cysticercus, Certification - Export, Certification - Trichinae, Identification - Meat, Identification - Poultry, Identification - Siluriformes, Off-Premise Freezing - Egg Products, Off",NULL,NULL
"Autumn Antlers","Identification - Meat, Voluntary Processing - Meat, Voluntary Slaughter - Meat",NULL,NULL
"Cargill Meat Solutions Corporation","Certification - Export",NULL,NULL
"Well Luck Co., Inc.","Certification - Export",NULL,NULL
"United Cold Storage","Certification - Export",NULL,NULL
"Patton Warehousing LLC","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"All Holding Company, LLC","Certification - Export",NULL,NULL
"CJ Logistics America, LLC","Certification - Export",NULL,NULL
"Winchester Cold Storage ""DBA"" WCS Logistics","Certification - Export",NULL,NULL
"Winchester Cold Storage ""DBA"" WCS Logistics","Certification - Export",NULL,NULL
"A Portus Freight Forwarding Service, LLC","Certification - Export, Identification - Meat, Identification - Poultry, Off-Premise Freezing - Meat, Off-Premise Freezing - Poultry",NULL,NULL
"ONE-OCEAN CARGO LLC","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"Menasha Packaging Company","Identification - Meat, Identification - Poultry",NULL,NULL
"Tyson Sales and Distribution, Inc.","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"Joliet Cold Storage LLC","Certification - Export, Identification - Meat, Identification - Poultry, Identification - Siluriformes",NULL,NULL
"Lineage Logistics LLC","Certification - Export, Identification - Meat, Identification - Poultry, Off-Premise Freezing - Meat, Off-Premise Freezing - Poultry",NULL,NULL
"HILLANDALE FARMS","Certification - Export",NULL,NULL
"InterChange Group, Inc.","Certification - Export, Off-Premise Freezing - Poultry",NULL,NULL
"IN AND OUT LOGISTICS","Certification - Export, Identification - Meat, Voluntary Processing - Meat, Voluntary Processing - Poultry, Voluntary Slaughter - Meat, Voluntary Slaughter - Poultry",NULL,NULL
"ProEx International Inc.","Certification - Export",NULL,NULL
"PERMAFROST WAREHOUSING, INC","Identification - Meat, Identification - Poultry",NULL,NULL
"West Palm Cold Storage LLC","Certification - Export",NULL,NULL
"HapCor","Certification - Export, Identification - Meat, Identification - Poultry, Identification - Siluriformes",NULL,NULL
"IP TRADING LLC","Certification - Export, Identification - Meat, Identification - Poultry, Identification - Siluriformes",NULL,NULL
"American Foods International LLC","Certification - Export",NULL,NULL
"Shoals Cold Storage","Certification - Export, Off-Premise Freezing - Meat, Off-Premise Freezing - Poultry",NULL,NULL
"Americold Logistics- Gateway","Certification - Export",NULL,NULL
"Atlanta Bonded Warehouse Corporation","Certification - Export",NULL,NULL
"Best Deal Brokerage LLC","Certification - Export",NULL,NULL
"Lineage Logistics","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"Symbia of Colorado, LLC","Identification - Meat",NULL,NULL
"Supply Chain Solutions, LLC","Certification - Export",NULL,NULL
"BG Foods N.A., Inc.","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"Conagra Brands","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"Americold Logistics, LLC","Certification - Cysticercus, Certification - Export, Certification - Trichinae, Identification - Meat, Identification - Poultry, Off-Premise Freezing - Meat, Off-Premise Freezing - Poultry",NULL,NULL
"Rava Forwarding","Certification - Cysticercus, Certification - Export, Certification - Trichinae, Identification - Meat, Identification - Poultry",NULL,NULL
"Laredo Cold Storage LLC","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"Smithfield Packaged Meats Corp","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"United States Cold Storage LLC","Certification - Export, Certification - Trichinae, Identification - Meat, Identification - Poultry",NULL,NULL
"Lonsdale Packaging, Inc.","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"Lineage Logistics Services, LLC","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"Multimodal Logistics, Inc.","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"Meis Trading Company","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"Friends Cargo Int'l","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"DCW Casing LLC","Certification - Export",NULL,NULL
"Cold Front Logistics, LLC","Certification - Export",NULL,NULL
"ARI-Packaging/Menasha (Minooka Plant)","Identification - Meat, Identification - Poultry",NULL,NULL
"Ameri-Asian Trading Development, Inc.","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"Seafrigo Coldstorage Chicago Inc.","Certification - Export, Identification - Meat, Identification - Poultry, Off-Premise Freezing - Egg Products, Off-Premise Freezing - Meat, Off-Premise Freezing - Poultry",NULL,NULL
"Americold Logistics, LLC","Certification - Export",NULL,NULL
"Exel Inc.","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"Detroit Cold Storage","Certification - Export, Certification - Trichinae, Identification - Meat, Identification - Poultry",NULL,NULL
"United States Cold Storage of California","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"Bolke-Miller Company","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"CDI - Customized Distribution, LLC","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"Institution Food House (IFH)","Certification - Export, Identification - Meat, Identification - Poultry, Off-Premise Freezing - Meat, Off-Premise Freezing - Poultry",NULL,NULL
"MS Worldwide Logistics, Inc.","Certification - Export, Identification - Meat, Identification - Poultry, Off-Premise Freezing - Meat, Off-Premise Freezing - Poultry",NULL,NULL
"Innova Flavors","Certification - Export, Food Inspection",NULL,NULL
"Americold Logistics, LLC","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
"West Coast Prime Meats LLC","Certification - Export, Identification - Meat, Identification - Poultry",NULL,NULL
